,Dist. STATE,Account ID,City,OnOff Premises,Classes of Trade,Siempre Plata,Siempre Reposado,Siempre Anejo,Siempre Supremo,Siempre Rebel Cask,Siempre Exclusivo Vivo,Total Cases,Did Buys,# Purchases,# Months Purchased,Rate of Sale: Units / Month,Ave Unit Price,Cluster
72,GA,48599,POOLER,OFF,LIQUOR/PACKAGE STORE,4.0,3.0,2.0,0.0,0.0,0.0,9.0,1,8,6,0.75,223.6810667,0.0
73,GA,46789,LOGANVILLE,OFF,LIQUOR/PACKAGE STORE,4.0,2.0,0.0,0.0,0.0,0.0,6.0,1,6,5,0.5,191.27,0.0
74,GA,83708,DULUTH,ON,RESTAURANT,4.0,0.0,0.0,0.0,9.666667,0.5,14.166667,1,2,2,1.180555583,330.4464628,1.0
75,GA,66769,ROSWELL,OFF,LIQUOR/PACKAGE STORE,4.0,2.0,1.0,0.0,0.0,0.0,7.0,1,7,7,0.583333333,209.9514,0.0
76,GA,77862,LILBURN,OFF,LIQUOR/PACKAGE STORE,4.0,3.0,3.0,0.0,0.0,0.0,10.0,1,8,7,0.833333333,232.04094,2.0
77,GA,14855,COVINGTON,OFF,LIQUOR/PACKAGE STORE,4.0,2.0,0.0,0.0,0.0,0.0,6.0,1,2,1,0.5,160.675,0.0
78,GA,93397,SMYRNA,OFF,LIQUOR/PACKAGE STORE,4.0,2.0,0.0,0.0,0.0,0.0,6.0,1,5,5,0.5,191.27,0.0
79,GA,51449,SMYRNA,OFF,LIQUOR/PACKAGE STORE,4.0,10.0,4.0,0.0,0.0,0.0,18.0,1,4,3,1.5,196.5794,0.0
80,GA,25161,BUFORD,OFF,LIQUOR/PACKAGE STORE,4.0,2.0,0.0,0.0,0.0,0.0,6.0,1,5,4,0.5,191.27,0.0
81,GA,78307,TIFTON,OFF,LIQUOR/PACKAGE STORE,4.0,5.0,1.0,0.0,0.0,0.0,10.0,1,3,2,0.833333333,190.60998,0.0
82,GA,93791,SAVANNAH,OFF,LIQUOR/PACKAGE STORE,4.0,1.0,0.0,0.0,0.0,0.0,5.0,1,4,4,0.416666667,188.19,0.0
83,GA,93673,ROSWELL,OFF,LIQUOR/PACKAGE STORE,4.0,3.0,3.0,2.0,2.0,0.0,14.0,1,2,2,1.166666667,231.6042429,0.0
84,GA,34409,ATLANTA,ON,CONCESSIONAIRE,3.833333,0.0,0.0,0.0,0.0,0.0,3.833333,1,1,1,0.319444417,178.9500156,1.0
85,GA,27174,JEKYLL ISLAND,ON,HOTEL/ MOTEL,3.666666,0.5,0.0,0.0,0.0,0.0,4.166666,1,4,4,0.347222167,130.6512209,1.0
86,GA,34626,POOLER,ON,RESTAURANT,3.500002,2.166667,0.0,0.0,0.0,0.0,5.666669,1,8,7,0.472222417,149.4158208,1.0
87,GA,42853,AUGUSTA,OFF,LIQUOR/PACKAGE STORE,3.333333,2.333333,1.333333,0.0,0.0,0.0,6.999999,1,2,2,0.58333325,183.7271405,0.0
88,GA,50459,ATLANTA,ON,RESTAURANT,3.166672,4.166671,0.166667,0.0,0.0,0.0,7.50001,1,30,12,0.625000833,194.1664078,2.0
89,GA,32317,SWAINSBORO,OFF,LIQUOR/PACKAGE STORE,3.166667,1.0,0.0,0.0,0.0,0.0,4.166667,1,4,4,0.34722225,189.1139849,0.0
90,GA,94646,ATLANTA,OFF,LIQUOR/PACKAGE STORE,3.166667,4.0,0.0,0.0,0.0,0.0,7.166667,1,2,2,0.59722225,166.5795271,0.0
91,GA,78394,KENNESAW,OFF,LIQUOR/PACKAGE STORE,3.0,1.833334,0.0,0.0,0.0,0.0,4.833334,1,5,3,0.402777833,196.1503178,0.0
92,GA,23636,MADISON,OFF,LIQUOR/PACKAGE STORE,3.0,1.0,0.0,0.0,0.0,0.0,4.0,1,4,4,0.333333333,189.345,0.0
93,GA,59887,DECATUR,ON,RESTAURANT,3.0,1.166667,0.5,0.0,0.0,0.0,4.666667,1,9,7,0.388888917,171.8903449,1.0
94,GA,15623,VALDOSTA,OFF,LIQUOR/PACKAGE STORE,3.0,3.0,0.0,0.0,0.0,0.0,6.0,1,2,2,0.5,133.93,0.0
95,GA,88760,STOCKBRIDGE,OFF,LIQUOR/PACKAGE STORE,3.0,3.0,1.0,0.0,0.0,0.0,7.0,1,6,4,0.583333333,213.2514,0.0
96,GA,64092,MARIETTA,OFF,LIQUOR/PACKAGE STORE,3.0,2.0,1.0,0.0,0.0,0.0,6.0,1,1,1,0.5,183.7533,0.0
97,GA,70384,STATESBORO,OFF,LIQUOR/PACKAGE STORE,3.0,2.0,1.0,0.0,0.0,0.0,6.0,1,4,3,0.5,216.8083,0.0
98,GA,62576,POWDER SPRINGS,OFF,LIQUOR/PACKAGE STORE,3.0,1.0,0.0,0.0,0.0,0.0,4.0,1,4,3,0.333333333,189.345,0.0
99,GA,92706,SAVANNAH,OFF,LIQUOR/PACKAGE STORE,3.0,2.0,0.0,0.0,0.0,0.0,5.0,1,5,4,0.416666667,194.286,0.0
100,GA,55810,PERRY,OFF,LIQUOR/PACKAGE STORE,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1,3,3,0.25,183.57,0.0
101,GA,50862,CONYERS,OFF,LIQUOR/PACKAGE STORE,3.0,1.833333,1.0,0.0,0.0,0.0,5.833333,1,1,1,0.486111083,183.0985476,0.0
102,GA,40583,DULUTH,OFF,LIQUOR/PACKAGE STORE,3.0,2.0,1.0,0.0,0.0,0.0,6.0,1,1,1,0.5,114.8633,0.0
103,GA,35547,JASPER,OFF,LIQUOR/PACKAGE STORE,3.0,2.0,1.0,0.0,0.0,0.0,6.0,1,1,1,0.5,183.7533,0.0
104,GA,91588,MARIETTA,OFF,LIQUOR/PACKAGE STORE,3.0,1.0,2.0,0.0,0.0,0.0,6.0,1,1,1,0.5,202.9816,0.0
105,GA,16547,MACON,OFF,LIQUOR/PACKAGE STORE,3.0,2.0,1.0,0.0,0.0,0.0,6.0,1,2,1,0.5,183.7533,0.0
106,GA,85059,ATLANTA,OFF,LIQUOR/PACKAGE STORE,3.0,3.0,1.0,0.0,0.0,0.0,7.0,1,5,5,0.583333333,213.2514,0.0
107,GA,69964,ALPHARETTA,OFF,LIQUOR/PACKAGE STORE,3.0,2.0,1.0,0.0,0.0,0.0,6.0,1,1,1,0.5,183.7533,0.0
108,GA,26581,CONYERS,OFF,LIQUOR/PACKAGE STORE,3.0,1.0,1.0,0.0,0.0,0.0,5.0,1,3,3,0.416666667,215.88396,0.0
109,GA,27013,AUSTELL,OFF,LIQUOR/PACKAGE STORE,3.0,2.0,1.0,0.0,0.0,0.0,6.0,1,1,1,0.5,183.7533,0.0
110,GA,34909,ATLANTA,OFF,LIQUOR/PACKAGE STORE,3.0,0.0,0.0,0.0,0.0,1.0,4.0,1,3,3,0.333333333,287.415,0.0
111,GA,36345,ATLANTA,OFF,LIQUOR/PACKAGE STORE,3.0,1.0,0.0,0.0,0.0,0.0,4.0,1,3,3,0.333333333,189.345,0.0
112,GA,26434,SMYRNA,OFF,LIQUOR/PACKAGE STORE,3.0,2.0,0.333333,0.0,0.0,0.0,5.333333,1,5,4,0.444444417,202.2706626,0.0
113,GA,14122,LILBURN,OFF,LIQUOR/PACKAGE STORE,3.0,0.0,1.0,0.0,0.0,0.0,4.0,1,3,2,0.333333333,218.18745,0.0
114,GA,97260,CLARKSTON,OFF,LIQUOR/PACKAGE STORE,3.0,7.0,1.0,0.0,0.0,0.0,11.0,1,1,1,0.916666667,177.4818,0.0
115,GA,12015,ALPHARETTA,OFF,LIQUOR/PACKAGE STORE,3.0,3.0,0.0,0.0,0.0,0.0,6.0,1,3,3,0.5,195.12,0.0
116,GA,77544,ALPHARETTA,ON,RESTAURANT,2.999999,0.0,0.0,0.0,0.0,0.0,2.999999,1,3,3,0.249999917,139.1833797,1.0
117,GA,46787,MARIETTA,ON,RESTAURANT,2.833335,0.333334,0.0,0.0,0.0,0.0,3.166669,1,7,7,0.263889083,143.6541047,1.0
118,GA,55803,FAIRBURN,ON,BAR/TAVERN,2.833334,0.5,0.0,0.166667,0.0,0.0,3.500001,1,6,3,0.29166675,157.872812,1.0
119,GA,17845,SAVANNAH,ON,RESTAURANT,2.833334,0.166667,0.0,0.0,0.0,0.0,3.000001,1,5,5,0.250000083,140.4382865,1.0
120,GA,80709,SAVANNAH,ON,RESTAURANT,2.666669,1.0,0.500001,0.0,0.0,0.0,4.16667,1,8,5,0.3472225,155.8234753,1.0
121,GA,86076,SAVANNAH,ON,BAR/TAVERN,2.666668,2.833332,0.166667,0.0,0.0,0.0,5.666667,1,12,9,0.47222225,172.7214604,2.0
122,GA,73963,ATLANTA,ON,RESTAURANT,2.500002,2.333338,0.833335,0.0,0.0,0.0,5.666675,1,17,8,0.472222917,200.6352932,2.0
123,GA,75629,ALPHARETTA,ON,RESTAURANT,2.500001,6.000003,0.833334,0.0,0.0,0.0,9.333338,1,10,8,0.777778167,162.6127758,2.0
124,GA,27436,HIRAM,OFF,LIQUOR/PACKAGE STORE,2.5,1.5,0.5,0.0,0.0,0.0,4.5,1,5,4,0.375,206.6555333,0.0
125,GA,30379,SAVANNAH,ON,RECREATION/ ENTERTAINMENT,2.166669,2.666669,0.0,0.0,0.0,0.0,4.833338,1,18,11,0.402778167,178.2929313,2.0
126,GA,99643,ATLANTA,ON,BAR/TAVERN,2.166666,5.166666,0.0,0.0,0.0,0.0,7.333332,1,4,4,0.611111,150.0879818,1.0
127,GA,90331,ATLANTA,ON,RESTAURANT,2.000001,2.166666,0.333334,0.0,0.0,0.0,4.500001,1,12,9,0.375000083,192.0877351,2.0
128,GA,74310,ROSWELL,ON,RESTAURANT,2.000001,0.0,0.0,0.0,0.0,0.0,2.000001,1,3,2,0.16666675,134.2124329,1.0
129,GA,49748,CANTON,OFF,LIQUOR/PACKAGE STORE,2.0,4.0,0.0,0.0,0.5,0.5,7.0,1,6,6,0.583333333,241.2771429,0.0
130,GA,98091,NEWNAN,OFF,LIQUOR/PACKAGE STORE,2.0,3.0,1.0,0.0,0.0,0.0,6.0,1,5,3,0.5,224.3317,0.0
131,GA,54958,HAHIRA,OFF,LIQUOR/PACKAGE STORE,2.0,3.0,1.0,0.0,0.0,0.0,6.0,1,1,1,0.5,187.6033,0.0
132,GA,95041,VALDOSTA,OFF,LIQUOR/PACKAGE STORE,2.0,3.0,1.0,0.0,0.0,0.0,6.0,1,3,2,0.5,187.6033,0.0
133,GA,40265,MACON,OFF,LIQUOR/PACKAGE STORE,2.0,3.5,1.0,0.0,0.0,0.0,6.5,1,3,2,0.541666667,190.8399692,0.0
134,GA,55579,SMYRNA,OFF,LIQUOR/PACKAGE STORE,2.0,4.0,1.0,0.0,0.0,0.0,7.0,1,2,2,0.583333333,190.3271143,0.0
135,GA,33472,SUWANEE,OFF,LIQUOR/PACKAGE STORE,2.0,0.0,1.0,1.0,1.0,1.0,6.0,1,3,3,0.5,337.4183,0.0
136,GA,67592,ATLANTA,OFF,LIQUOR/PACKAGE STORE,2.0,7.0,1.0,1.0,1.0,1.0,13.0,1,8,8,1.083333333,267.0153692,2.0
137,GA,82533,DECATUR,OFF,LIQUOR/PACKAGE STORE,2.0,3.0,1.0,0.0,0.0,0.0,6.0,1,1,1,0.5,187.6033,0.0
138,GA,98223,SAVANNAH,OFF,LIQUOR/PACKAGE STORE,2.0,2.0,1.0,0.0,0.0,0.0,5.0,1,4,3,0.416666667,220.50396,0.0
139,GA,67884,MILLEDGEVILLE,OFF,LIQUOR/PACKAGE STORE,2.0,2.0,1.0,0.0,0.0,0.0,5.0,1,1,1,0.416666667,183.78996,0.0
140,GA,35536,ATLANTA,OFF,LIQUOR/PACKAGE STORE,2.0,2.0,0.0,1.0,1.0,1.0,7.0,1,2,2,0.583333333,276.0342857,0.0
141,GA,61656,COLUMBUS,OFF,LIQUOR/PACKAGE STORE,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1,2,2,0.166666667,183.57,0.0
142,GA,54473,COMMERCE,OFF,LIQUOR/PACKAGE STORE,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1,2,2,0.166666667,183.57,0.0
143,GA,58370,BRASELTON,OFF,LIQUOR/PACKAGE STORE,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1,2,2,0.166666667,183.57,0.0
144,GA,26430,ATLANTA,OFF,LIQUOR/PACKAGE STORE,2.0,5.0,0.0,0.0,0.0,0.0,7.0,1,5,4,0.583333333,200.07,0.0
145,GA,35687,SMYRNA,ON,RECREATION/ ENTERTAINMENT,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1,1,1,0.166666667,134.2125,1.0
146,GA,87343,DULUTH,OFF,LIQUOR/PACKAGE STORE,2.0,5.0,2.0,0.0,0.0,0.0,9.0,1,2,2,0.75,206.7777333,0.0
147,GA,93279,ROME,OFF,LIQUOR/PACKAGE STORE,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1,2,2,0.166666667,183.57,0.0
148,GA,72313,PEACHTREE CORNERS,OFF,LIQUOR/PACKAGE STORE,2.0,2.0,1.0,0.0,0.0,0.0,5.0,1,4,3,0.416666667,220.50396,0.0
149,GA,50125,MARIETTA,OFF,LIQUOR/PACKAGE STORE,2.0,3.0,1.0,0.0,0.0,0.0,6.0,1,6,5,0.5,218.1983,0.0
150,GA,28324,WOODSTOCK,ON,RESTAURANT,2.0,2.0,2.0,2.0,0.0,0.0,8.0,1,1,1,0.666666667,135.79875,1.0
151,GA,75614,ATLANTA,OFF,LIQUOR/PACKAGE STORE,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1,2,2,0.25,191.27,0.0
152,GA,54656,ATLANTA,OFF,LIQUOR/PACKAGE STORE,2.0,5.0,0.0,0.0,0.0,0.0,7.0,1,5,5,0.583333333,200.07,0.0
153,GA,81894,SENOIA,OFF,SUPERMARKET,2.0,2.0,0.333333,0.0,0.0,0.0,4.333333,1,4,3,0.361111083,213.090801,0.0
154,GA,46477,POOLER,OFF,LIQUOR/PACKAGE STORE,2.0,2.0,0.0,0.0,0.0,0.0,4.0,1,2,2,0.333333333,195.12,0.0
155,GA,99942,LOCUST GROVE,OFF,LIQUOR/PACKAGE STORE,2.0,3.0,1.0,1.0,1.0,0.5,8.5,1,6,6,0.708333333,275.8876235,0.0
156,GA,94250,WAYCROSS,OFF,LIQUOR/PACKAGE STORE,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1,2,1,0.166666667,183.57,0.0
157,GA,46473,MIDWAY,OFF,LIQUOR/PACKAGE STORE,2.0,1.0,1.0,0.0,0.0,0.0,4.0,1,2,1,0.333333333,178.06995,0.0
